group_id	user_id	image_id	cluster_image_name	timestamp
1799	8881	3986	AkhVzWd1Dvoi2l1dpeRdbJxMbTdvTxhsLRuGE3jxalCo.jpeg	1549559543
1799	8881	41491	Ap2RwqZi8avQK9aO8FMt2HQTEh38B92uScn6w9_4fx4-.jpeg	1549559545
1493	9211	26123	Akh_SyRwmLC0fx6HNYVr0lNhuTHNZePKK7sm9KImyuOe.jpeg	1549564360
1806	5822	11372	AiZgK3TgsPzLo0nWUSun8bpXUv05x4FE-YaA6Lbwuf4h.jpeg	1549569313
1806	5822	33223	ArKuq37fRJmm7Q4xwLFH5gSIDewPM8Ap5hgNWTcvZLHk.jpeg	1549569314
1806	5822	8931	Ap4ZfnefbhW_RdVSPIpm0lVWU3ubJWzQlbpO9p_DIXhj.jpeg	1549569315
1806	5822	40376	ArDm-56NuSw6v6yWzgPUHxR1hfRJf9q3N-W4rdEjFfmD.jpeg	1549569319
1806	5822	49150	Ap4ZfnefbhW_RdVSPIpm0lVWU3ubJWzQlbpO9p_DIXhj.jpeg	1549569322
1806	5822	39426	AjrnNISxfckxnFp0QCkk7nmS5S6esPsEW-FHic5AzaQo.jpeg	1549569328
1806	5822	6830	ArDm-56NuSw6v6yWzgPUHxR1hfRJf9q3N-W4rdEjFfmD.jpeg	1549569330
1806	5822	5757	AizqvUzq1v_jldE0xlWz_3JNfGrCAsDNGsX15AWM5wO6.jpeg	1549569334
1750	15733	19726	AibFhc53sfTUEladR_dvBxCQLjpKgwicvIKL3AICX_6J.jpeg	1549580478
1750	15733	46443	AnLe1AYgcen29wYR3AN3ajBvrsbKgHnkcdq1afWrhaPb.jpeg	1549580479
1750	15733	44848	AprMvfXS4Y9PowChNB6oVuOBny7aNrVLyZ14uYLPGVcM.jpeg	1549580482
1750	15733	16822	AkJrfmzWleJe6yKRZdhSJdyv8BkyealIQzyMsh2fpZhq.jpeg	1549580483
1750	15733	6866	AmSwm8G64pCJgCovExt_jZTjGS0dvIQfb7FPwwG_I3SQ.jpeg	1549580484
1750	15733	27163	As0-qvJ2_8INIVhitTOLjJOXlqG6XvbnbP1fKfzGwwuD.jpeg	1549580490
612	17452	1857	AprMvfXS4Y9PowChNB6oVuOBny7aNrVLyZ14uYLPGVcM.jpeg	1549585230
612	17452	46342	AnLe1AYgcen29wYR3AN3ajBvrsbKgHnkcdq1afWrhaPb.jpeg	1549585236
612	17452	26771	AmtALLwCyG4VDIithqZDKCphMiK0s-JQj9buqYORhwN0.jpeg	1549585237
3214	1627	47528	AqNvv92Ur_HB27qmInCjvSEQufzuKvQhuZWc745qoSow.jpeg	1549585483
