group_id	user_id	image_id	cluster_image_name	timestamp
179	818	12	140216935626000.jpe	1534289418000
179	818	51	139902213105424_7.jpe	1534290236000
179	818	101	139875164269392_5.jpe	1534290318000
173	601	101	139875164269392_5.jpe	1534294875000
51	370	70	140677082157840_11.jpe	1534298634000
37	830	101	139875164269392_5.jpe	1534304863000
14	207	51	139902213105424_7.jpe	1534307263000
14	207	22	140067876230160.jpe	1534307538000
14	207	12	140216935626000.jpe	1534307626000
43	730	70	140677082157840_11.jpe	1534308268000
162	179	12	140216935626000.jpe	1534348646000
162	179	101	139875164269392_5.jpe	1534348679000
120	309	22	140067876230160.jpe	1534349555000
23	350	22	140067876230160.jpe	1534361581000
23	350	12	140216935626000.jpe	1534361775000
23	350	51	139902213105424_7.jpe	1534361797000
23	350	101	139875164269392_5.jpe	1534361818000
129	263	22	140067876230160.jpe	1534379882000
176	4	51	139902213105424_7.jpe	1534384508000
32	312	51	139902213105424_7.jpe	1534384879000
176	4	12	140216935626000.jpe	1534384934000
176	4	22	140067876230160.jpe	1534385199000
176	270	12	140216935626000.jpe	1534386066000
176	270	22	140067876230160.jpe	1534386076000
180	439	22	140067876230160.jpe	1534408688000
180	439	12	140216935626000.jpe	1534408695000
180	439	51	139902213105424_7.jpe	1534408719000
180	439	101	139875164269392_5.jpe	1534408722000
51	332	101	139875164269392_5.jpe	1534422779000
120	666	101	139875164269392_5.jpe	1534423790000
120	666	12	140216935626000.jpe	1534423819000
36	506	57	139895596481424_5.jpe	1534435822000
43	399	57	139895596481424_5.jpe	1534438593000
36	465	51	139902213105424_7.jpe	1534441093000
51	810	57	139895596481424_5.jpe	1534444882000
8	915	57	139895596481424_5.jpe	1534447154000
15	196	97	140295945842960.jpe	1534494235000
111	196	97	140295945842960.jpe	1534494241000
15	196	97	140295945842960.jpe	1534494249000
15	196	79	140295945842832.jpe	1534494273000
15	196	92	140676875897488_5.jpe	1534494279000
111	196	97	140295945842960.jpe	1534494383000
111	196	79	140295945842832.jpe	1534494397000
111	196	92	140676875897488_5.jpe	1534494406000
15	196	74	140296049107088_4.jpe	1534494414000
111	196	74	140296049107088_4.jpe	1534494419000
161	527	51	139902213105424_7.jpe	1534500632000
161	527	101	139875164269392_5.jpe	1534500641000
161	527	12	140216935626000.jpe	1534500739000
161	527	22	140067876230160.jpe	1534500753000
3	140	22	140067876230160.jpe	1534510471000
3	140	12	140216935626000.jpe	1534510480000
3	140	101	139875164269392_5.jpe	1534510484000
3	140	51	139902213105424_7.jpe	1534510486000
1	308	22	140067876230160.jpe	1534524004000
1	308	101	139875164269392_5.jpe	1534524010000
32	698	70	140677082157840_11.jpe	1534527236000
32	777	70	140677082157840_11.jpe	1534529980000
86	93	70	140677082157840_11.jpe	1534536147000
78	912	22	140067876230160.jpe	1534537554000
78	912	12	140216935626000.jpe	1534537617000
78	912	51	139902213105424_7.jpe	1534537893000
78	912	101	139875164269392_5.jpe	1534537981000
51	372	70	140677082157840_11.jpe	1534548918000
15	372	70	140677082157840_11.jpe	1534548919000
64	148	70	140677082157840_11.jpe	1534549228000
120	252	101	139875164269392_5.jpe	1534552327000
120	252	51	139902213105424_7.jpe	1534552337000
120	252	22	140067876230160.jpe	1534552461000
59	736	70	140677082157840_11.jpe	1534552496000
111	709	57	139895596481424_5.jpe	1534556710000
26	709	57	139895596481424_5.jpe	1534557136000
68	705	88	139878486083792_4.jpe	1534565959000
148	603	88	139878486083792_4.jpe	1534566030000
148	603	88	139878486083792_4.jpe	1534566030000
76	844	22	140067876230160.jpe	1534600326000
76	844	51	139902213105424_7.jpe	1534600367000
76	844	12	140216935626000.jpe	1534600373000
76	844	101	139875164269392_5.jpe	1534600419000
41	404	70	140677082157840_11.jpe	1534634194000
43	330	22	140067876230160.jpe	1534650124000
176	609	22	140067876230160.jpe	1534674815000
36	589	70	140677082157840_11.jpe	1534683129000
113	164	22	140067876230160.jpe	1534693263000
113	164	12	140216935626000.jpe	1534693416000
113	164	22	140067876230160.jpe	1534693685000
113	164	101	139875164269392_5.jpe	1534694698000
26	665	70	140677082157840_11.jpe	1534695756000
7	898	101	139875164269392_5.jpe	1534698081000
7	898	22	140067876230160.jpe	1534698082000
7	898	12	140216935626000.jpe	1534698083000
7	898	51	139902213105424_7.jpe	1534698083000
86	585	101	139875164269392_5.jpe	1534701426000
86	585	22	140067876230160.jpe	1534701436000
86	585	12	140216935626000.jpe	1534701442000
177	765	22	140067876230160.jpe	1534705062000
177	765	12	140216935626000.jpe	1534705078000
177	765	51	139902213105424_7.jpe	1534705083000
177	765	101	139875164269392_5.jpe	1534705090000
176	867	22	140067876230160.jpe	1534716616000
176	867	51	139902213105424_7.jpe	1534716619000
176	867	101	139875164269392_5.jpe	1534716669000
176	867	12	140216935626000.jpe	1534716777000
50	91	22	140067876230160.jpe	1534729263000
50	91	22	140067876230160.jpe	1534729263000
50	91	101	139875164269392_5.jpe	1534729274000
43	329	70	140677082157840_11.jpe	1534735441000
43	329	104	140492801004624.jpe	1534735444000
76	329	70	140677082157840_11.jpe	1534735496000
76	329	104	140492801004624.jpe	1534735519000
76	47	104	140492801004624.jpe	1534773816000
163	618	70	140677082157840_11.jpe	1534791140000
76	329	51	139902213105424_7.jpe	1534815975000
76	329	22	140067876230160.jpe	1534816006000
129	263	22	140067876230160.jpe	1534844048000
129	263	22	140067876230160.jpe	1534844113000
129	263	51	139902213105424_7.jpe	1534844489000
129	263	101	139875164269392_5.jpe	1534844615000
137	163	103	140492857794832.jpe	1534876593000
137	163	104	140492801004624.jpe	1534876607000
176	528	101	139875164269392_5.jpe	1534886923000
176	528	12	140216935626000.jpe	1534886943000
176	528	22	140067876230160.jpe	1534886946000
176	528	51	139902213105424_7.jpe	1534886954000
86	538	70	140677082157840_11.jpe	1534892827000
8	716	7	140677082251984.jpe	1534896397000
8	400	7	140677082251984.jpe	1534897245000
49	248	103	140492857794832.jpe	1534946870000
76	354	16	140500644491984.jpe	1534953078000
76	39	16	140500644491984.jpe	1534953178000
32	157	103	140492857794832.jpe	1534960882000
19	517	12	140216935626000.jpe	1534968640000
19	517	51	139902213105424_7.jpe	1534968678000
176	609	103	140492857794832.jpe	1534970587000
176	609	104	140492801004624.jpe	1534970592000
145	98	103	140492857794832.jpe	1534976817000
120	9	22	140067876230160.jpe	1534987721000
120	9	101	139875164269392_5.jpe	1534988294000
120	9	51	139902213105424_7.jpe	1534988398000
120	9	12	140216935626000.jpe	1534988424000
59	379	103	140492857794832.jpe	1534990056000
59	379	104	140492801004624.jpe	1534990467000
43	752	103	140492857794832.jpe	1534990643000
43	752	104	140492801004624.jpe	1534990677000
120	388	66	140638615123792_3.jpe	1535034293000
95	550	12	140216935626000.jpe	1535039181000
95	550	51	139902213105424_7.jpe	1535042225000
95	550	101	139875164269392_5.jpe	1535044184000
36	550	12	140216935626000.jpe	1535047890000
36	550	101	139875164269392_5.jpe	1535048462000
113	593	66	140638615123792_3.jpe	1535051177000
95	530	103	140492857794832.jpe	1535054515000
76	292	66	140638615123792_3.jpe	1535072525000
50	234	66	140638615123792_3.jpe	1535073073000
76	201	66	140638615123792_3.jpe	1535073126000
161	87	66	140638615123792_3.jpe	1535115657000
36	692	103	140492857794832.jpe	1535137666000
36	692	104	140492801004624.jpe	1535137689000
123	902	22	140067876230160.jpe	1535193672000
123	902	12	140216935626000.jpe	1535193682000
123	902	51	139902213105424_7.jpe	1535193699000
123	902	101	139875164269392_5.jpe	1535193709000
123	902	22	140067876230160.jpe	1535193736000
123	902	12	140216935626000.jpe	1535193748000
123	902	51	139902213105424_7.jpe	1535193762000
123	902	101	139875164269392_5.jpe	1535193772000
43	133	74	140296049107088_4.jpe	1535196182000
43	133	97	140295945842960.jpe	1535196191000
43	133	97	140295945842960.jpe	1535196207000
43	133	79	140295945842832.jpe	1535196212000
179	818	104	140492801004624.jpe	1535198001000
179	818	103	140492857794832.jpe	1535198010000
179	272	104	140492801004624.jpe	1535200726000
179	272	103	140492857794832.jpe	1535200728000
92	909	78	140296049214672_20.jpe	1535213355000
